Formulario,Orden,Pregunta,Tipo,Opciones,Obligatoria,Objetivo de la pregunta,Variable medida
Formulario B - Operación y cambio de proveedor,5,¿Cuál es el tiempo promedio de entrega de su laboratorio actual para una corona de zirconia?,Opción múltiple,24 a 48 horas | 3 a 5 días hábiles | Más de una semana | No trabajo zirconia actualmente,Sí,Medir expectativa y estándar competitivo,Tiempo de entrega
Formulario B - Operación y cambio de proveedor,6,¿Qué lo motivaría más a cambiar de laboratorio dental?,Opción múltiple,Mejores tiempos de entrega | Mayor precisión técnica | Precios más competitivos | Mejor comunicación y asesoría técnica | Mayor variedad de materiales,Sí,Identificar palanca principal de adquisición,Motivo de cambio
Formulario B - Operación y cambio de proveedor,7,¿Cuál es el problema técnico más repetido que ha tenido con trabajos de laboratorio?,Párrafo,,No,Capturar fallas operativas recurrentes,Dolor técnico abierto
"Formulario C - Especialidad, volumen y precio",0,Zona o distrito donde se realiza la entrevista,Respuesta corta,,Sí,Segmentar respuestas por ubicación de campo,Zona
"Formulario C - Especialidad, volumen y precio",1,¿Cuál describe mejor su enfoque clínico principal?,Opción múltiple,General integral | Rehabilitación y prótesis | Estética dental | Cirugía e implantes | Ortodoncia | Odontopediatría | Otro,Sí,Segmentar demanda por especialidad,Enfoque clínico
"Formulario C - Especialidad, volumen y precio",2,"En un mes promedio, ¿cuántos casos envía a laboratorio?",Opción múltiple,1 a 5 casos | 6 a 10 casos | 11 a 20 casos | Más de 20 casos | Varía demasiado según temporada,Sí,Estimar volumen potencial,Volumen mensual
"Formulario C - Especialidad, volumen y precio",3,¿Qué tan importante es para usted la cercanía física del laboratorio dental?,Escala lineal 1-5,1 = Nada importante | 5 = Crítico,Sí,Medir peso de proximidad versus servicio,Importancia de cercanía
"Formulario C - Especialidad, volumen y precio",4,¿Cuál es el material o servicio que más le cuesta conseguir con buena calidad en Arequipa?,Opción múltiple,Zirconia estética | Disilicato de litio | Guías quirúrgicas | Prótesis sobre implantes | Prótesis totales o híbridas | Modelos impresos 3D | Ninguno en particular,Sí,Detectar brechas de oferta local,Brecha de servicio
"Formulario C - Especialidad, volumen y precio",5,¿Cuál es el rango de precio promedio que paga por una corona de zirconia solo laboratorio?,Desplegable,Menos de S/ 130 | Entre S/ 130 y S/ 160 | Entre S/ 160 y S/ 190 | Más de S/ 200 | No trabajo zirconia,Sí,Mapear sensibilidad y referencia de mercado,Rango de precio
"Formulario C - Especialidad, volumen y precio",6,¿Qué tan interesado está en implementar prótesis totales digitales o híbridas en su consulta?,Escala lineal 1-5,1 = Nada interesado | 5 = Muy interesado,Sí,Validar interés en servicios digitales avanzados,Interés en prótesis digital
"Formulario C - Especialidad, volumen y precio",7,¿Cuál ha sido su peor experiencia reciente trabajando con un laboratorio dental?,Párrafo,,No,Descubrir riesgos y frustraciones memorables,Mala experiencia abierta
Formulario D - Innovación y valor añadido,0,Zona o distrito donde se realiza la entrevista,Respuesta corta,,Sí,Segmentar respuestas por ubicación de campo,Zona
Formulario D - Innovación y valor añadido,1,¿Qué tan digitalizado considera hoy su flujo clínico-laboratorio?,Escala lineal 1-5,1 = Totalmente tradicional | 5 = Muy digitalizado,Sí,Medir autopercepción de adopción tecnológica,Nivel digital
Formulario D - Innovación y valor añadido,2,"Si el laboratorio recoge y entrega casos en su clínica, ¿qué factor le daría más confianza?",Opción múltiple,Puntualidad comprobable | Empaque seguro para modelos o impresiones | Comunicación por WhatsApp en cada etapa | Responsable fijo de recojo y entrega | Garantía ante daños o retrasos,Sí,Definir condición de confianza logística,Confianza logística
Formulario D - Innovación y valor añadido,3,¿Qué servicios de mayor valor le gustaría que su laboratorio ofreciera?,Casillas,Guías quirúrgicas impresas 3D | Modelos de estudio impresos 3D | PPR digitales en PEEK o metal impreso | Sistemas PIC para implantes múltiples | Caracterización estética personalizada | Diseño digital revisable antes de fabricar,Sí,Priorizar servicios innovadores,Deseo de innovación
Formulario D - Innovación y valor añadido,4,"Del 1 al 10, ¿qué tan satisfecho está con la comunicación técnica de su laboratorio actual?",Escala lineal 1-10,1 = Muy mala | 10 = Excelente,Sí,Medir calidad de comunicación y asesoría,Satisfacción comunicación
Formulario D - Innovación y valor añadido,5,"Si dos laboratorios tienen calidad similar, ¿qué factor pesaría más en su decisión?",Opción múltiple,Precio | Tiempo de entrega | Comunicación y seguimiento | Garantía o repetición sin conflicto | Tecnología y precisión digital,Sí,Identificar criterio de decisión bajo igualdad técnica,Criterio de elección
Formulario D - Innovación y valor añadido,6,¿Cómo preferiría validar diseños de casos de alta estética antes de fabricación?,Opción múltiple,Confío en el criterio del técnico | Capturas por WhatsApp | Videollamada breve | Enlace para revisar modelo 3D | Prefiero validarlo solo al recibir el trabajo,Sí,Validar formato de colaboración digital,Validación de diseño
Formulario D - Innovación y valor añadido,7,"Si pudiera pagar por resolver un solo problema de laboratorio, ¿cuál sería?",Párrafo,,No,Identificar dolor con disposición potencial de pago,Dolor pagable abierto
